,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
135,4425.837320574163,418.0,casa,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
136,12906.894594594594,370.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349275,-99.196467
137,108510.63829787234,235.0,casa,4.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
138,175000.0,320.0,casa,7.0,3.0,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
139,10371.99124726477,457.0,casa,5.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43285,-99.19753
140,111162.7906976744,215.0,casa,4.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
141,6764.597042513863,541.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
142,13083.701369863014,365.0,casa,6.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43374,-99.19405
143,3837.5,400.0,casa,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43259,-99.19663
144,169708.0291970803,274.0,casa,3.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332413,-99.1988289
145,121951.21951219512,246.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
146,82978.72340425532,235.0,casa,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
147,114583.33333333331,480.0,casa,4.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4329191,-99.198979
148,12048.192771084336,166.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
149,3366.6710532087554,455.94,casa,7.0,5.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349275,-99.196467
150,5434.782608695652,368.0,casa,,,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4327697,-99.1983172
151,158256.88073394494,436.0,casa,7.0,3.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
152,6666.666666666667,600.0,casa,5.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349275,-99.196467
153,143805.30973451328,452.0,casa,4.0,4.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
154,113018.8679245283,530.0,casa,6.0,2.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4326705,-99.1949618
155,6944.444444444444,288.0,casa,9.0,,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
156,80000.0,200.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
157,5955.555555555556,270.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
158,87500.0,160.0,departamento,2.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4334883,-99.1980885
