,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
750,750,63522.72727272727,88.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4450274,-99.2029831
757,757,63522.72727272727,88.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4450274,-99.2029831
2844,2844,63934.42622950819,122.0,departamento,2.0,2.0,2.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3568031,-99.2742706
782,782,62318.840579710144,69.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44313,-99.20133
4228,4228,62500.0,96.0,departamento,2.0,2.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.3658933,-99.1823344
3622,3622,60000.0,105.0,departamento,2.0,2.0,2.0,GRAL C  A  MADRAZO,ALVARO OBREGON,19.3800991,-99.2506794
2197,2197,46811.59420289855,138.0,departamento,2.0,2.0,2.0,DEL VALLE VI,BENITO JUAREZ,19.3740072,-99.1648786
4377,4377,60625.0,80.0,departamento,2.0,2.0,2.0,GRANADA,MIGUEL HIDALGO,19.44016,-99.19123
786,786,60717.94871794872,78.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44359,-99.2005921
7350,7350,47777.77777777778,90.0,departamento,2.0,2.0,2.0,ANAHUAC I,MIGUEL HIDALGO,19.4488013,-99.1772948
720,720,60717.94871794872,78.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44359,-99.2005921
2832,2832,60645.16129032258,155.0,departamento,2.0,2.0,2.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3568031,-99.2742706
748,748,60612.5,80.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4431346,-99.2007312
6733,6733,60101.0101010101,99.0,departamento,2.0,2.0,2.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3595597,-99.1619184
6959,6959,60144.92753623189,69.0,departamento,2.0,2.0,2.0,SANTA URSULA COAPA (PBLO),COYOACAN,19.314864390372,-99.140225705462
5080,5080,60436.73731535003,93.42,departamento,2.0,2.0,2.0,INSURGENTES CUICUILCO,COYOACAN,19.306897,-99.180488
3757,3757,60185.18518518518,108.0,departamento,2.0,2.0,2.0,HIPODROMO II,CUAUHTEMOC,19.4050083,-99.1739208
3986,3986,60161.29032258064,93.0,departamento,2.0,2.0,2.0,NAPOLES (AMPL),BENITO JUAREZ,19.3857374,-99.1783138
3740,3740,60185.18518518518,108.0,departamento,2.0,2.0,2.0,HIPODROMO II,CUAUHTEMOC,19.4050083,-99.1739208
6738,6738,60101.0101010101,99.0,departamento,2.0,2.0,2.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3595597,-99.1619184
6043,6043,61038.96103896104,77.0,departamento,2.0,2.0,2.0,STA CRUZ ATOYAC,BENITO JUAREZ,19.3672839,-99.1628635
5707,5707,61450.28735632184,87.0,departamento,2.0,2.0,2.0,ROMA SUR I,CUAUHTEMOC,19.4115632,-99.1605358
4079,4079,47614.678899082566,109.0,departamento,2.0,2.0,2.0,DEL VALLE II,BENITO JUAREZ,19.3924192,-99.1651258
5700,5700,61450.28735632184,87.0,departamento,2.0,2.0,2.0,ROMA SUR I,CUAUHTEMOC,19.4115632,-99.1605358
2249,2249,61497.32620320856,187.0,departamento,2.0,2.0,2.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.430055,-99.2122066
3554,3554,47607.15771951727,120.15,departamento,2.0,2.0,2.0,NARVARTE III,BENITO JUAREZ,19.391492,-99.158524
6230,6230,63387.76470588235,68.0,departamento,2.0,2.0,2.0,PORTALES ORIENTE,BENITO JUAREZ,19.36770685445372,-99.13983097433132
4065,4065,63333.333333333336,75.0,departamento,2.0,2.0,2.0,DEL VALLE II,BENITO JUAREZ,19.3917802,-99.1642322
1041,1041,63316.582914572864,199.0,departamento,2.0,2.0,2.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4243115,-99.2243912
3180,3180,60562.379746835446,79.0,departamento,2.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
715,715,60612.5,80.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4431346,-99.2007312
6727,6727,60101.0101010101,99.0,departamento,2.0,2.0,2.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3595597,-99.1619184
3623,3623,60000.0,105.0,departamento,2.0,2.0,2.0,GRAL C  A  MADRAZO,ALVARO OBREGON,19.3800991,-99.2506794
2685,2685,60846.560846560846,189.0,departamento,2.0,2.0,2.0,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,19.4363827,-99.1895989
773,773,61052.63157894737,95.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44379909037846,-99.20253872963131
9153,9153,47057.65714285714,87.5,departamento,2.0,2.0,2.0,EL CARACOL,COYOACAN,19.30595,-99.164402
3673,3673,61137.44075829384,211.0,departamento,2.0,2.0,2.0,ROMA SUR II,CUAUHTEMOC,19.40626,-99.16117
3821,3821,47000.0,85.0,departamento,2.0,2.0,2.0,ROMA NORTE III,CUAUHTEMOC,19.4145352,-99.1639473
4207,4207,62500.0,96.0,departamento,2.0,2.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.3658933,-99.1823344
5867,5867,62105.26315789474,95.0,departamento,2.0,2.0,2.0,ANZURES,MIGUEL HIDALGO,19.4265733,-99.1780433
5894,5894,62105.26315789474,95.0,departamento,2.0,2.0,2.0,ANZURES,MIGUEL HIDALGO,19.4265733,-99.1780433
5746,5746,61728.39506172839,81.0,departamento,2.0,2.0,2.0,PORTALES IV,BENITO JUAREZ,19.3602099,-99.1440946
574,574,61607.142857142855,112.0,departamento,2.0,2.0,2.0,CONDESA,CUAUHTEMOC,19.41529,-99.17578
3864,3864,47000.0,85.0,departamento,2.0,2.0,2.0,ROMA NORTE III,CUAUHTEMOC,19.4145352,-99.1639473
3508,3508,61660.19070321811,83.9,departamento,2.0,2.0,2.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.379792,-99.252902
3249,3249,63440.86021505376,93.0,departamento,2.0,2.0,2.0,ANAHUAC II,MIGUEL HIDALGO,19.43955693986429,-99.18212001335296
4843,4843,63157.89473684211,114.0,departamento,2.0,2.0,2.0,NAPOLES,BENITO JUAREZ,19.39337,-99.17733
767,767,61363.63636363636,110.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44331290582105,-99.20237248308104
735,735,61363.63636363636,110.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44331290582105,-99.20237248308104
1268,1268,61250.0,160.0,departamento,2.0,2.0,2.0,HIPODROMO I,CUAUHTEMOC,19.4093682,-99.1719095
3114,3114,47028.985507246376,138.0,departamento,2.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
5705,5705,61450.28735632184,87.0,departamento,2.0,2.0,2.0,ROMA SUR I,CUAUHTEMOC,19.4115632,-99.1605358
4111,4111,46972.47706422018,109.0,departamento,2.0,2.0,2.0,DEL VALLE II,BENITO JUAREZ,19.3921726,-99.1649842
6100,6100,61176.470588235294,85.0,departamento,2.0,2.0,2.0,CUADRANTE DE SAN FRANCISCO,COYOACAN,19.3447021,-99.1662297
6096,6096,61176.470588235294,85.0,departamento,2.0,2.0,2.0,CUADRANTE DE SAN FRANCISCO,COYOACAN,19.3447021,-99.1662297
3167,3167,61176.470588235294,85.0,departamento,2.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
