,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
869,6800000,98,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
870,62950000,98,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
871,5350000,79,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
872,3920000,67,2,1,1,ROMA SUR,EN LA COLONIA ROMA SUR MUY CERCA DE METRO CHILPANCINGO,,,
873,5300000,530,6+,3,4+,EL SANTUARIO,HERMOSA RESIDENCIA EN IZTAPALAPA,EL SANTUARIO,19.3546652532,19.3546652532
874,2195000,41,1,1,0,COL DEL VALLE CENTRO,REMATO DEPARTAMENTO 1 RECAMARA CALLE ANICETO ORTEGA COL DEL VALLE CENTRO ALC BENITO JUAREZ  CP 03100,BENITO JUAREZ,19.3296058799,19.3296058799
875,5600000,86,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
876,5400000,79,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
877,5450000,79,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
878,6697178,110,2,2,3,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
879,6394605,92,2,2,2,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
880,7679139,116,2,2,3,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
881,7890000,0,2,2,3,JUAREZ,"PENTHOUSE EN VENTA, COL. JUAREZ, A DOS CUADRAS DE REFORMA, LISBOA, CDMX",JUAREZ,19.4270038256,19.4270038256
882,3690000,0,2,2,1,COL DEL VALLE SUR,"DEPTO. EN VENTA, COL. DEL VALLE SUR, CERCA PLAZA UNIVERSIDAD, CDMX",,,
883,5252208,99,2,2,2,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
884,6694591,105,2,2,2,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
885,7298485,92,2,2,2,ROMA SUR,"DESARROLLO TEHUANTEPEC 236, ROMA SUR, PREVENTA, DEPARTAMENTO, 2 RECAMARAS.",,,
886,6901577,114,2,2,2,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
887,8209701,128,2,2,3,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
888,6799276,128,2,2,2,ROMA SUR,"DEPARTAMENTO EN PREVENTA EN TEHUANTEPEC 236, ROMA SUR, 2 RECAMARAS.",,,
889,3100000,96,3,2,2,LA CANDELARIA,VENTA DE DEPARTAMENTO EN COL. LA CANDELARIA PUEBLITO COYOACAN CERCA DE DIVISION DEL NORTE EJE 10,,,
890,3950000,0,2,1,1,STA CRUZ ATOYAC,VENTA DE DEPARTAMENTO EN CITY TOWER III 70M2 ESTACIONAMIENTO INDEPENDIENTE 1 RECAMARA AMPLIA,STA CRUZ ATOYAC,19.3681589306,19.3681589306
891,12700000,176,4,4+,3,SAN JOSE INSURGENTES,CASA NUEVA EN VENTA 4 RECAMARAS SAN JOSE INSURGENTES BENITO JUAREZ CDMX,BENITO JUAREZ,19.3296058799,19.3296058799
892,3590000,0,2,2,2,PROGRESO,DEPARTAMENTO EN VENTA 2 RECAMARAS TIZAPAN SAN ANGEL,SAN ANGEL,19.3456616645,19.3456616645
893,4574124,82,3,2,2,SAN PEDRO DE LOS PINOS,"DEPARTAMENTOS EN PREVENTA U PLACE PERIFERICO, ALVARO OBREGON, 3 RECAMARAS",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
894,4068000,67,2,2,2,SAN PEDRO DE LOS PINOS,"DEPARTAMENTO EN PREVENTA EN U PLACE PERIFERICO, ALVARO OBREGON, 2 RECAMARAS",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
895,7500000,198,3,3,1,ROMA SUR,"ROMA SUR, TEHUANTEPEC, PENTHOUSE CON TERRAZA PRIVADA",,,
896,2745000,67,2,2,1,DOCTORES,"DEPARTAMENTO EN VENTA EN ANTICA, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
897,3850000,78,3,2,2,SAN RAFAEL,ROSAS MORENO SAN RAFAEL,SAN RAFAEL,19.4864549617,19.4864549617
898,3483000,114,1,1,1,SAN PEDRO DE LOS PINOS,"DEPARTAMENTO EN PREVENTA EN U PLACE PERIFERICO, ALVARO OBREGON, 1 RECAMARA",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
899,2290000,0,2,2,2,EL COYOL,DEPARTAMENTO EN VENTA 2 RECAMARAS ALCALDIA GUSTAVO A MADERO,,,
900,6478220,62,1,1,1,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
901,7968379,72,1,2,1,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
902,5134467,46,1,1,2,JUAREZ,"DEPARTAMENTOS EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
903,12156018,104,2,2,2,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 2 RECAMARAS.",JUAREZ,19.4270038256,19.4270038256
904,8402393,76,2,2,1,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 2 RECAMARAS.",JUAREZ,19.4270038256,19.4270038256
905,7452082,64,1,1,1,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
906,17094611,115,2,3,2,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 2 RECAMARAS.",JUAREZ,19.4270038256,19.4270038256
907,7336383,63,1,1,1,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
908,5715451,46,1,1,1,JUAREZ,"DEPARTAMENTOS EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
909,14279218,109,2,2,2,JUAREZ,"DEPARTAMENTO EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 2 RECAMARAS.",JUAREZ,19.4270038256,19.4270038256
910,6076967,46,1,1,1,JUAREZ,"DEPARTAMENTOS EN PREVENTA EN UNIVERSITY TOWER, JUAREZ, 1 RECAMARA.",JUAREZ,19.4270038256,19.4270038256
911,3634175,76,2,2,1,ZACAHUITZCO,"DEPARTAMENTOS EN PREVENTA EN LOURDES 50, COLONIA ZACAHUITZO, 2 RECAMARAS",ZACAHUITZCO,19.3744993934,19.3744993934
912,15757300,260,3,3,2,LOMAS DE TECAMACHALCO,"DEPARTAMENTO  EN VENTA EN RESERVA AHUEHUETES,  EN NAUCALPAN, MEXICO, 3 RECAMARAS.",AHUEHUETES,19.5459584432,19.5459584432
913,9490000,250,3,3,4+,LOMAS DE SOTELO,"CASA EN VENTA PARA OFICINAS, COL. PERIODISTA, A 5 MINUTOS DE POLANCO, CDMX",LOMAS DE SOTELO,19.4492461991,19.4492461991
914,23169400,260,3,3,2,LOMAS DE TECAMACHALCO,"DEPARTAMENTO  EN VENTA EN RESERVA AHUEHUETES,  EN NAUCALPAN, MEXICO, 3 RECAMARAS.",AHUEHUETES,19.5459584432,19.5459584432
915,5000000,302,3,2,3,TERRITORIO TORRES,"CASA EN VENTA REMODELADA, COL. HEROES DE PADIERNA, CERCA SIX FLAGS, CDMX",HEROES DE PADIERNA,19.3133186911,19.3133186911
916,2786945,73,2,2,1,ZACAHUITZCO,"DEPARTAMENTOS EN PREVENTA EN LOURDES 50, COLONIA ZACAHUITZO, 2 RECAMARAS",ZACAHUITZCO,19.3744993934,19.3744993934
917,2750000,0,2,3,1,EQUIPAMIENTO PERIFERICO PICACHO AJUSCO CANAL 13,"DEPTO. EN VENTA, UNIDAD PEMEX, FUENTES DEL PEDREGAL",FUENTES DEL PEDREGAL,19.3038504522,19.3038504522
